StateId,Year,Yes,No,Total,Missing
51,2012,32.1,67.9,81,0
51,2013,10.5,89.5,86,0
51,2014,26.7,73.3,75,0
51,2015,14.9,85.1,74,0
51,2016,20.2,79.8,89,0
52,2012,54.3,45.7,46,1
52,2013,63.2,36.8,19,0
52,2014,45.5,54.5,11,0
52,2015,84.2,15.8,19,0
52,2016,0.0,0.0,0,0
