StateId,Year,Tpr_LT_1Mo,Tpr_1_to_5Mo,Tpr_6_to_11Mo,Tpr_12_to_17Mo,Tpr_18_to_23Mo,Tpr_24_to_29Mo,Tpr_30_to_35Mo,Tpr_3_to_4YR,Tpr_MT_5YR,Total,Missing,Mean,Meridian
18,2014,0.0,26.2,41.8,16.0,7.3,3.9,1.5,2.1,1.3,909,0,11.9,8
19,2014,0.0,37.4,41.4,9.7,4.5,3.4,1.4,1.9,.3,621,1,9.3,7
20,2014,.3,9.1,38.5,31.1,15.0,2.4,1.7,1.4,.3,286,9,13.0,12
21,2014,2.3,64.9,22.6,4.5,2.6,1.1,.4,0.0,1.5,265,79,6.5,4
22,2014,0.0,28.7,32.5,8.5,10.2,8.5,6.6,3.5,1.7,579,10,14.5,9
23,2014,.1,21.1,46.5,17.5,6.2,3.4,1.5,2.4,1.2,2165,19,11.8,9
24,2014,.2,14.5,39.8,26.4,7.3,5.5,2.2,3.6,.6,641,1,13.4,11
25,2014,0.0,33.9,40.3,12.5,6.7,3.5,2.6,.3,.3,313,1,9.7,7
26,2014,29.4,39.8,15.8,7.0,2.7,2.3,.8,1.1,1.2,1257,34,6.5,2
27,2014,7.8,9.6,33.0,30.4,5.7,7.4,2.2,3.0,.9,230,4,13.0,11
28,2014,12.9,29.2,31.4,12.9,6.2,2.7,2.2,1.6,.9,449,12,9.3,7
29,2014,.8,38.8,34.3,10.2,6.7,3.0,1.8,2.9,1.4,726,3,10.7,7
30,2014,4.3,40.0,33.9,13.0,2.6,2.6,.9,1.7,.9,115,5,8.4,6
31,2014,.6,33.7,34.6,13.8,7.5,4.1,2.6,2.1,1.1,1017,7,11.2,7
32,2014,.6,19.0,33.7,18.7,11.1,7.3,5.1,3.5,1.0,315,0,14.3,11
33,2014,.4,21.4,34.4,19.4,10.2,4.8,2.5,4.8,2.0,1957,40,14.2,10
34,2014,1.4,37.3,34.4,14.7,4.3,3.1,.7,3.2,.8,1173,3,10.2,7
35,2014,1.1,8.5,45.7,26.6,6.4,6.4,3.2,1.1,1.1,94,2,12.7,11
36,2014,.1,21.4,35.3,18.2,9.6,5.3,3.3,4.8,1.9,1406,0,14.5,10
37,2014,1.2,23.4,39.9,19.0,6.3,4.8,2.0,2.0,1.4,1365,17,12.0,9
38,2014,.1,8.6,38.0,23.8,13.4,7.5,3.0,4.0,1.5,841,6,15.7,12
39,2014,.6,39.5,38.5,12.0,4.1,1.6,1.5,1.8,.3,1826,23,8.8,7
40,2014,63.7,22.4,6.0,2.5,1.5,2.0,.5,1.0,.5,201,1,3.2,0
41,2014,1.1,37.2,29.4,13.5,7.8,3.6,1.1,3.4,2.9,446,3,12.3,7
42,2014,0.0,21.4,28.9,24.5,10.1,5.7,3.1,4.4,1.9,159,0,15.1,11
43,2014,13.3,54.6,18.7,7.3,3.4,1.5,.5,.5,.1,1110,51,5.6,3
44,2014,.0,20.1,34.2,20.5,10.2,5.1,3.2,4.0,2.7,5214,7,15.1,11
45,2014,3.2,58.6,21.8,6.5,2.8,1.8,2.5,2.2,.7,602,3,7.5,4
46,2014,0.0,53.0,33.5,7.9,1.2,2.4,0.0,1.2,.6,164,0,7.4,5
47,2014,0.0,16.9,37.5,23.9,11.9,3.6,2.4,3.1,.8,616,16,15.8,11
48,2014,.7,39.0,31.6,16.6,5.3,2.9,.9,2.5,.5,1359,3,9.9,7
49,2014,.7,9.1,47.8,25.9,8.0,4.0,1.8,1.8,.9,849,3,13.1,11
50,2014,.4,55.6,27.0,9.1,3.2,2.6,.8,1.1,.3,729,6,7.5,5
51,2014,15.1,46.6,12.3,9.6,4.1,5.5,2.7,1.4,2.7,73,2,9.2,3
52,2014,36.4,0.0,0.0,9.1,27.3,0.0,18.2,9.1,0.0,11,0,16.7,19
1,2015,.6,50.2,23.2,13.7,4.5,1.6,1.0,2.0,3.3,512,0,10.2,5
2,2015,17.4,31.1,25.8,7.8,4.5,5.0,3.9,4.2,.3,357,0,9.5,6
3,2015,.2,32.4,45.8,12.3,4.9,1.8,1.0,1.4,.1,3201,35,9.1,7
4,2015,.9,32.3,32.0,17.8,6.5,4.5,2.6,2.3,1.1,740,0,11.8,9
5,2015,.7,26.4,38.7,19.1,8.1,3.6,1.6,1.6,.4,6063,16,10.9,9
6,2015,.3,23.0,38.2,21.7,8.4,3.0,1.0,3.5,.9,770,50,12.3,10
7,2015,1.5,34.9,38.9,11.8,5.9,1.1,2.4,2.6,.9,542,31,12.1,7
