StateId,Year,Married,UnMarried,SingleFemale,SingleMale,Total,Missing
4,2015,79.9,3.5,15.4,1.2,740,0
5,2015,63.2,6.0,26.7,4.1,5975,104
6,2015,75.9,2.2,19.5,2.4,806,14
7,2015,71.6,4.4,22.5,1.6,573,0
8,2015,73.4,3.8,22.8,0.0,79,0
9,2015,33.0,3.8,57.5,5.7,106,0
10,2015,60.3,4.3,32.2,3.3,3359,72
11,2015,74.8,0.0,22.4,2.9,912,0
12,2015,67.6,.6,30.7,1.1,176,0
13,2015,74.0,5.8,14.8,5.4,223,0
14,2015,58.8,1.1,37.4,2.8,1785,3
15,2015,69.8,3.5,24.0,2.8,1152,0
16,2015,65.9,1.4,26.1,6.6,977,40
17,2015,75.8,5.6,17.1,1.4,766,17
18,2015,79.8,0.0,16.1,4.1,961,0
19,2015,69.5,1.7,28.1,.8,662,0
20,2015,75.2,9.0,14.6,1.2,322,6
21,2015,62.2,3.4,33.3,1.0,291,3
22,2015,69.9,8.8,20.3,1.1,617,6
23,2015,61.4,11.6,23.1,3.9,1762,10
24,2015,68.2,6.2,23.7,1.9,730,5
25,2015,68.9,0.0,29.2,1.9,312,0
26,2015,72.8,3.3,20.2,3.6,1344,13
27,2015,79.0,3.5,15.8,1.6,310,0
28,2015,60.9,3.8,31.9,3.4,530,3
29,2015,62.3,1.1,29.4,7.1,799,0
30,2015,85.6,1.7,8.5,4.2,118,0
31,2015,57.2,4.1,35.7,2.9,1063,9
32,2015,63.4,5.1,26.4,5.1,295,0
33,2015,46.4,3.7,47.5,2.5,1890,43
34,2015,72.7,.2,22.3,4.9,1311,0
35,2015,82.7,0.0,16.5,.8,133,0
36,2015,78.6,3.3,16.5,1.6,1324,10
37,2015,70.2,0.0,26.2,3.6,2159,0
38,2015,78.7,5.7,13.9,1.7,835,0
39,2015,67.2,4.0,26.6,2.1,1832,0
40,2015,57.3,9.5,29.9,3.3,211,0
41,2015,80.9,.7,16.9,1.5,403,0
42,2015,82.6,0.0,11.6,5.8,121,0
43,2015,79.5,.8,17.8,1.8,1089,24
44,2015,68.2,1.7,27.2,3.0,5449,8
45,2015,86.9,0.0,11.8,1.3,695,0
46,2015,69.8,13.8,15.9,.5,189,0
47,2015,85.1,0.0,14.3,.5,551,11
48,2015,74.0,3.8,20.1,2.0,1431,53
49,2015,74.8,5.0,17.8,2.4,886,7
50,2015,72.9,1.0,23.7,2.5,630,13
51,2015,91.7,1.4,1.4,5.6,72,2
52,2015,61.5,0.0,30.8,7.7,13,6
1,2016,79.0,0.0,18.6,2.4,490,13
2,2016,71.8,4.9,20.8,2.6,308,5
3,2016,59.7,1.1,34.8,4.4,3523,131
4,2016,79.6,2.4,16.2,1.8,758,0
5,2016,63.4,5.8,27.0,3.7,6454,88
6,2016,78.8,3.5,16.6,1.1,829,10
7,2016,67.9,1.3,28.5,2.3,527,2
8,2016,84.8,0.0,15.2,0.0,99,0
9,2016,34.9,1.8,46.8,16.5,109,1
10,2016,60.9,3.7,32.0,3.4,3522,51
