StateId,Year,Age_LT_1_YR,Age_1_YR,Age_2_YR,Age_3_YR,Age_4_YR,Age_5_YR,Age_6_YR,Age_7_YR,Age_8_YR,Age_0_TO_8_YR,Age_9_YR,Age_10_YR,Age_11_YR,Age_12_YR,Age_13_YR,Age_14_YR,Age_15_YR,Age_16_YR,Age_17_YR,Age_18_YR,Age_19_YR,Age_20_YR,Total,Missing,Mean,Meridian
12,2013,1.9,6.3,15.1,8.2,13.8,7.5,6.3,9.4,5.7,74.2,4.4,4.4,3.1,4.4,1.3,1.9,3.1,1.9,1.3,0.0,0.0,0.0,159,1,6.2,5.0
13,2013,1.0,11.7,11.7,10.7,7.8,7.8,6.3,5.3,5.3,67.5,4.9,2.9,2.9,3.4,6.3,3.9,4.4,1.9,1.9,0.0,0.0,0.0,206,0,6.7,5.0
14,2013,.1,3.5,10.1,12.8,12.9,10.5,9.5,6.0,6.7,72.3,5.8,4.6,4.1,3.9,4.1,1.5,1.5,1.3,.7,.1,.1,0.0,1356,0,6.4,5.5
15,2013,1.0,7.9,16.2,12.5,8.9,9.5,5.6,6.5,5.1,73.3,5.1,4.1,3.9,4.1,2.8,2.6,2.0,1.2,.7,.3,0.0,0.0,961,0,6.0,5.0
16,2013,2.8,12.8,13.1,10.3,11.0,9.6,6.8,6.9,6.3,79.5,5.0,4.0,3.9,2.6,1.2,1.6,.8,.9,.3,.1,0.0,0.0,917,0,5.3,5.0
17,2013,1.0,9.1,12.2,12.3,9.1,10.1,6.8,7.1,4.6,72.3,5.2,5.2,4.2,3.1,2.7,2.8,1.9,1.9,.7,0.0,0.0,0.0,674,0,6.1,5.0
18,2013,.3,8.7,12.9,8.7,10.2,7.2,5.3,5.8,5.9,64.7,5.1,5.1,4.8,3.6,4.6,2.5,2.8,3.3,3.1,.1,0.0,.1,797,0,7.0,6.0
19,2013,.5,8.2,14.6,12.4,10.4,10.3,8.9,6.6,4.4,76.3,5.2,3.1,4.8,3.0,2.5,2.2,.8,1.5,.4,.1,0.0,0.0,731,0,5.8,5.0
20,2013,.5,9.8,17.3,14.0,10.3,8.4,8.9,7.5,5.6,82.2,2.8,3.3,1.4,1.9,4.2,3.3,0.0,.5,.5,0.0,0.0,0.0,214,0,5.3,4.0
21,2013,2.5,12.4,18.0,13.0,10.1,8.2,5.4,4.5,3.4,77.5,3.4,3.1,4.5,2.3,2.3,1.4,2.0,1.1,1.7,.6,.3,0.0,355,0,5.4,4.0
