StateId,Year,NativeAmerican,Asian,Black,PacificIslander,Hispanic,White,Unknown,Multiracial,Total,Missing
11,2016,.1,.3,29.1,0.0,8.0,54.7,0.0,7.9,1121,0
12,2016,0.0,8.5,3.1,15.5,.8,9.3,0.0,62.8,129,0
13,2016,2.7,1.6,1.1,0.0,20.0,68.1,0.0,6.5,185,0
14,2016,0.0,.1,39.2,0.0,7.9,47.2,.6,5.0,1546,0
15,2016,0.0,0.0,13.8,.2,7.0,69.4,.1,9.5,1536,0
16,2016,.7,.4,11.4,.1,11.1,66.2,2.3,7.8,992,0
17,2016,.9,.6,9.8,0.0,12.2,66.1,0.0,10.5,870,0
18,2016,0.0,0.0,8.2,.3,8.0,72.0,5.0,6.6,1104,0
19,2016,.4,0.0,33.4,0.0,2.8,58.2,.8,4.4,727,0
20,2016,.3,.3,1.0,0.0,26.8,60.7,6.0,5.0,399,0
21,2016,.3,0.0,37.3,0.0,5.1,39.8,4.8,12.7,354,7
22,2016,.1,1.0,8.4,0.0,19.1,53.5,5.5,12.3,669,0
23,2016,.3,.0,20.3,0.0,7.9,58.1,.1,13.3,2067,11
24,2016,6.5,1.9,12.2,0.0,9.5,52.6,.4,16.9,899,0
25,2016,.5,.3,38.0,0.0,4.5,52.8,.8,3.3,400,0
26,2016,.4,.3,17.4,.1,4.1,70.9,4.3,2.5,1591,0
27,2016,20.0,.4,.8,0.0,10.0,51.2,0.0,17.7,260,0
28,2016,2.5,0.0,15.7,0.0,16.4,57.3,1.7,6.4,483,0
29,2016,1.3,.4,21.1,.5,21.1,44.6,.4,10.7,796,0
30,2016,0.0,2.4,2.4,1.2,12.9,72.9,2.4,5.9,85,0
31,2016,0.0,.1,33.7,0.0,22.6,35.6,1.0,7.0,1184,1
32,2016,7.8,0.0,5.9,1.0,53.9,29.1,0.0,2.3,306,0
33,2016,.4,.5,44.6,0.0,5.4,35.1,13.8,.2,1983,0
34,2016,2.5,.4,27.1,0.0,4.6,51.5,.1,13.7,1501,0
